,ID,doc,Тип документу,Зразок,Замовник,Виробник,Густина кг/м3,ОЧД,ОЧМ,Фракція_70,Фракція_100,Фракція_150,10%,50%,90%,Кінець кипіння,Залишок після випаровування,ДНП,Індукційний період,Фактичні смоли,Сірка,Олефінові вуглеводні,Ароматичні вуглеводні,Бензол,Кисневмісні: метанол,Кисневмісні: етанол,Кисневмісні: ізопропіловий спирт,Кисневмісні: ізобутиловий спирт,Кисневмісні: третбутиловий, Кисневмісні: етери
0,1035/19,D:\Margo\python\protocols\Protocol_0.docx,ПАСПОРТ,бензин автомобільний довготривалого зберігання А-80-ДЗ,-1,"постачальник: ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5","751,1","84,0","78,8",na,na,na,"64,0","101,5","154,0","192,5","1,0","45,6",,"1,0","3,4","1,988","34,6","0,925",відсутність,na,відсутність,відсутність,відсутність,відсутність
1,1041/19,D:\Margo\python\protocols\Protocol_1.docx,ПРОТОКОЛ,бензин автомобільний А-95-Євро5-Е5,"ТОВ «СКАЙТОРГ», 49000, Дніпропетровська область, місто Дніпро, вулиця Староказацька, будинок 40 Б, офіс 4, код ЄДРПОУ 38954216",ТОВ «Укргазвидобування»,na,"95,7","85,0",na,na,na,na,na,na,-,na,"61,1",na,na,"5,2","11,162","33,6","0,528","<0,17","<0,17","<0,17","<0,17","<0,17","4,0"
2,1140/19,D:\Margo\python\protocols\Protocol_10.docx,ПРОТОКОЛ,бензин автомобільний Shebel-А-95-Євро5-Е5,"Акціонерне товариство «Укргазвидобування», 04053, м. Київ, вул. Кудрявська,26/28, код ЄДРПОУ 30019775","УПГГК Шебелинське відділення з переробки газового конденсату та нафти, розташоване с. Андріївка, Балакліївського района Харківської області., вул. Першотравнева,141","741,2",na,na,na,na,na,na,na,na,na,na,na,ДСТУ 8737:2017,na,na,na,na,na,na,na,na,na,na,na
3,1681/19,D:\Margo\python\protocols\Protocol_100.docx,ПРОТОКОЛ,бензин автомобільний довготривалого зберігання А-80-ДЗ,"ОРГАН З СЕРТИФІКАЦІЇ “10 ХІММОТОЛОГІЧНИЙ ЦЕНТР”, 03115, м. Київ, вул. Відпочинку, 9а.",інформація відсутня.,na,na,na,na,na,na,na,na,na,"(< 0,17(відсутність)",na,na,na,na,na,"1,767",na,"0,858","(< 0,17(відсутність)","< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)"
4,1682/19,D:\Margo\python\protocols\Protocol_101.docx,ПРОТОКОЛ,бензин автомобільний довготривалого зберігання А-80-ДЗ,"ОРГАН З СЕРТИФІКАЦІЇ “10 ХІММОТОЛОГІЧНИЙ ЦЕНТР”, 03115, м. Київ, вул. Відпочинку, 9а.",інформація відсутня.,na,na,na,na,na,na,na,na,na,"(< 0,17(відсутність)",na,na,na,na,na,"1,746",na,"0,912","(< 0,17(відсутність)","< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)"
5,1689/19,D:\Margo\python\protocols\Protocol_102.docx,ПРОТОКОЛ,бензин автомобільний Shebel-А-92-Євро5-Е5,"ТОВ «ЗОГ-РІТЕЙЛ», юридична адреса: 69001, м. Запоріжжя, бул. Шевченка, буд. 28, код ЄДРПОУ 41224168.","АТ «Укргазвидобування», УПГГК «Шебелинське відділення з переробки газового конденсату і нафти»",na,na,"84,6",na,na,na,na,na,na,na,na,"60,3",na,na,"5,1",na,"33,454",na,na,na,na,na,na,na
6,1692/19,D:\Margo\python\protocols\Protocol_103.docx,ПРОТОКОЛ,бензин автомобільний довготривалого зберігання А-80-Д,"ТОВ «Ферст Груп», 49000, Дніпропетровська область, м. Дніпро, вул. Троїцька, буд. 15/3, офіс 2, код ЄДРПОУ 41701663.","ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5.","731,1","85,1","79,8","32,5","58,0","89,0",na,na,na,"197,5","1,0","64,7",,1,"7,6","1,940","26,649",na,"(< 0,17(відсутність)",na,"(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","< 0,17(відсутність)"
7,1723/19,D:\Margo\python\protocols\Protocol_104.docx,ПРОТОКОЛ,бензин автомобільний довготривалого зберігання А-80-Д,"ТОВ «Ферст Груп», 49000, Дніпропетровська область, м. Дніпро, вул. Троїцька, буд. 15/3, офіс 2, код ЄДРПОУ 41701663.","ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5.","729,4","84,0","79,6","32,0","61,0","90,5",na,na,na,"197,5","1,1","58,8",,1,"6,9","1,971","26,059","0,942","(< 0,17(відсутність)",na,"(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","< 0,17(відсутність)"
8,1724/19,D:\Margo\python\protocols\Protocol_105.docx,ПРОТОКОЛ,бензин автомобільний довготривалого зберігання А-80-Д,"ТОВ «Ферст Груп», 49000, Дніпропетровська область, м. Дніпро, вул. Троїцька, буд. 15/3, офіс 2, код ЄДРПОУ 41701663.","ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5.","730,3","84,6","80,2","32,5","61,0","89,5",na,na,na,"196,5","1,2","67,7",,1,"5,3","2,188","26,705","0,940","(< 0,17(відсутність)",na,"(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","< 0,17(відсутність)"
9,1725/19,D:\Margo\python\protocols\Protocol_106.docx,ПРОТОКОЛ,бензин автомобільний довготривалого зберігання А-80-Д,"ТОВ «Ферст Груп», 49000, Дніпропетровська область, м. Дніпро, вул. Троїцька, буд. 15/3, офіс 2, код ЄДРПОУ 41701663.","ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5.","736,8","84,7","80,0","29,5","56,5","89,0",na,na,na,"196,5","1,1","63,3",,1,"6,6","1,777","29,564","0,903","(< 0,17(відсутність)",na,"(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","< 0,17(відсутність)"
10,1726/19,D:\Margo\python\protocols\Protocol_107.docx,ПРОТОКОЛ,бензин автомобільний довготривалого зберігання А-80-Д,"ТОВ «Ферст Груп», 49000, Дніпропетровська область, м. Дніпро, вул. Троїцька, буд. 15/3, офіс 2, код ЄДРПОУ 41701663.","ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5.","734,3","85,2","80,4","30,5","58,5","89,0",na,na,na,"198,5","1,0","64,7",,1,"5,8","1,939","28,349","0,928","(< 0,17(відсутність)",na,"(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","< 0,17(відсутність)"
11,1730/19,D:\Margo\python\protocols\Protocol_108.docx,ПРОТОКОЛ,бензин автомобільний довготривалого зберігання А-80-Д,"ТОВ «Ферст Груп», 49000, Дніпропетровська область, м. Дніпро, вул. Троїцька, буд. 15/3, офіс 2, код ЄДРПОУ 41701663.","ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5.","733,3","85,0","80,2","32,5","57,5","89,0",na,na,na,"199,0","1,1","62,8",,1,"6,2","2,395","28,527","0,758","< 0,17 (Відсутність)",na,"< 0,17 (Відсутність)","< 0,17 (Відсутність)","< 0,17 (Відсутність)","< 0,17 (Відсутність)"
12,1742/19,D:\Margo\python\protocols\Protocol_109.docx,ПРОТОКОЛ,бензин автомобільний довготривалого зберігання А-80-ДЗ,"ОРГАН З СЕРТИФІКАЦІЇ “10 ХІММОТОЛОГІЧНИЙ ЦЕНТР”, 03115, м. Київ, вул. Відпочинку, 9а.",інформація відсутня.,na,na,na,na,na,na,na,na,na,"< 0,17(відсутність)",na,na,na,na,na,"1,886",na,"0,787","< 0,17(відсутність)",na,"< 0,17(відсутність)","< 0,17(відсутність)","< 0,17(відсутність)","< 0,17(відсутність)"
13,1147/19,D:\Margo\python\protocols\Protocol_11.docx,ПРОТОКОЛ,бензин автомобільний Shebel-А-92-Євро5-Е5,"Акціонерне товариство «Укргазвидобування», 04053, м. Київ, вул. Кудрявська,26/28, код ЄДРПОУ 30019775","УПГГК Шебелинське відділення з переробки газового конденсату та нафти, розташоване с. Андріївка, Балакліївського района Харківської області., вул. Першотравнева,141","737,8",na,na,na,na,na,na,na,na,na,na,na,ДСТУ 8737:2017,na,na,na,na,na,na,na,na,na,na,na
14,1743/19,D:\Margo\python\protocols\Protocol_110.docx,ПРОТОКОЛ,бензин автомобільний довготривалого зберігання А-80-ДЗ,"ОРГАН З СЕРТИФІКАЦІЇ “10 ХІММОТОЛОГІЧНИЙ ЦЕНТР”, 03115, м. Київ, вул. Відпочинку, 9а.",інформація відсутня.,na,na,na,na,na,na,na,na,na,"< 0,17(відсутність)",na,na,na,na,na,"1,886",na,"0,735","< 0,17(відсутність)",na,"< 0,17(відсутність)","< 0,17(відсутність)","< 0,17(відсутність)","< 0,17(відсутність)"
